Can I Use an Easement That Abuts to My Property	 real
Landlord Sold House to New Landord	 landlordtenant
Can a Landlord Really Evict Me in 3 Days	 landlordtenant
Getting Out of a Lease Before Moving In	 landlordtenant
three day notice	 landlordtenant
Landlord's Insurance Company Filed a Lawsuit Against Tenants	 landlordtenant
Paying more rent and utilities	 landlordtenant
Landlord Asking For Additional Money	 landlordtenant
Eviction with No Written Lease in Pennsylvania	 landlordtenant
Late Return of Security Deposit in Idaho	 landlordtenant
Can A Roommate Evict a Subtenant In Wisconsin	 landlordtenant
Rental Agreement For Apartment Where A Homicide Occurred	 landlordtenant
Landlord Trying To Collect Rent Three Years After Eviction	 landlordtenant
Security Deposits in Virginia	 landlordtenant
Ex-Landlord is Suing	 landlordtenant
Bogus 3 Day Notice In Florida	 landlordtenant
Can Landlord Ask For More Money Upon Move Out, in Colorado	 landlordtenant
Tenant Is Not Abiding By Lease	 landlordtenant
Can I Give My Ex-Girlfriend a 30 Day Notice to Vacate?	 landlordtenant
Vehicle Parked In My Backyard	 landlordtenant
Sister Trying to Evict Sister on Dad's Property	 landlordtenant
Just Found Out Our New Apt. is for Sale As Condo Indiana	 landlordtenant
Landlord Breaking Our Lease with No Valid Reason, in NYC	 landlordtenant
Is a Demand Letter Extortion	 landlordtenant
Tenant Pays Less Than Mortgage	 landlordtenant
Lease Up, Roommates Stayed - Do I Get a Security Deposit Back	 landlordtenant
New Fridge Taken Out of Security Deposit	 landlordtenant
Can a Landlord Sue for Damages After Agreeing Everything Was Okay	 landlordtenant
Terrorized by Stomping Neighbors Upstairs	 landlordtenant
Big Mess with Former Friend	 landlordtenant
Tenant Breaks Toilet	 landlordtenant
Motion to Quash Writ of Recovery	 landlordtenant
Applicability of Statutes Governing Fitness for Habitation	 landlordtenant
Rental Agreement States the Security Deposit Will Be Returned Without Interest	 landlordtenant
Possessions Illegally Removed by Landlord	 landlordtenant
Can a Landlord Collect Rent for an Illegal Apartment in a One- or Two-Family Dwelling	 landlordtenant
Can a Landlord Evict a Commercial Tenant Without a Court Process	 landlordtenant
Pay or Quit Notice Demands More Rent Than is Owed	 landlordtenant
Constructive Eviction Through Breach of Contract	 landlordtenant
Being Sued Over an Unclear Agreement on Rent Owed	 landlordtenant
Tenant Balked After Signing Her Lease, Before Move-in	 landlordtenant
Landlord is Not Honoring Agreement for Garage Parking	 landlordtenant
Can You Get Your Deposit Back if You Decide Not to Sign the Lease	 landlordtenant
Can Your Landlord Charge for Damages if the Walls Aren't Damaged	 landlordtenant
Is a Subtenant Responsible for the Master Tenant's Unpaid Utility Bill	 landlordtenant
How Quickly Must a Landlord Remove a Fallen Tree	 landlordtenant
Towed for Having Expired Vehicle Tags Despite Having Renewed My Registration	 landlordtenant
Is a Landlord Required to Have a License	 landlordtenant
How to Break a Lease Due to Unsafe Conditions	 landlordtenant
Replaced on Lease, Deposit Was Not Returned	 landlordtenant
What Are Your Rights to the Security Deposit if There is No Written Lease	 landlordtenant
What is Determined at an Eviction Case	 landlordtenant
How Do You Offer Your Own Testimony in a Court Proceeding	 landlordtenant
When is Paint Damage Ordinary Wear and Tear	 landlordtenant
Landlord is Making Excessive Cleaning and Repair Charges	 landlordtenant
Neighbor is Accusing Us of Marijuana Use to Try to Get Us Evicted	 landlordtenant
Is Your Security Deposit Forfeited if You Move Out Early	 landlordtenant
Can You Extend a Lease if the Landlord Broke a Promise to Sell You the Property	 landlordtenant
Can a Landlord Let Somebody Else Use a Tenant's Address for Mail	 landlordtenant
Can a Landlord Cash a Check for a Holding Deposit Before You Move In	 landlordtenant
How to Withold the Rent to Get Repairs	 landlordtenant
Can a Landlord Threaten Non-Renewal to Make You Pay a Fine	 landlordtenant
Do You Need a Separate Eviction Judgment for the Tenant and for Occupants	 landlordtenant
Can You Break a Lease if You Find a Hidden Camera on the Premises	 landlordtenant
Sued by a Tenant Who Broke a Lease	 landlordtenant
Can You Refuse to Pay Rent to a Buyer After a Foreclosure Sale	 landlordtenant
Can You Sue a Tenant for Making Too Much Noise	 landlordtenant
Is a Tenant Obligated to Remind Maintenance That Repairs Need to Be Made	 landlordtenant
Improper Security Deposit Charges	 landlordtenant
Can You Break a Lease Over Unrepaired Plumbing Problems	 landlordtenant
Landlord Refuses to Return Part of Deposit	 landlordtenant
Help With A Bad Landlord	 landlordtenant
Family dispute over property	 landlordtenant
Notice of Eviction in Michigan	 landlordtenant
Landlord trying to give 10-day notice in California	 landlordtenant
Eviction Help	 landlordtenant
Conflict with Mother Over House	 landlordtenant
30 Day Notice.  Landlord charging past rent	 landlordtenant
Tenant Wants To Break The Lease	 landlordtenant
Want To Marry A Woman With Children, But Landlord Doesn't Want To Let Them Move In	 landlordtenant
Rent late can I evict?	 landlordtenant
Co-tenant Moving Out Mid-Lease	 landlordtenant
Tenant's Responsibility for Excessive Utility Bills	 landlordtenant
Two Rent Increases In A Year	 landlordtenant
What Constitutes Reasonable Notice For Landlord's Entry	 landlordtenant
Roommate Secretly Moved Out Without Paying Rent	 landlordtenant
Rent Agreements In Washington State	 landlordtenant
Roommate Moved Out, Will Continue to Pay Rent but Not Utilities	 landlordtenant
Roommate On Lease Not Paying Rent or Bills in Ohio	 landlordtenant
Eviction For Running A Part-Time Business From An Apartment	 landlordtenant
Eviction in Florida, Lee County	 landlordtenant
Roommates Staying After Notice Given in New Jersey	 landlordtenant
Tenant's Rent Past Due - Who Can Serve a 3 Day Notice in California	 landlordtenant
How Much Notice Is Required To Evict	 landlordtenant
Georgia Lease Expiration With 60 Day Notice Requirement	 landlordtenant
My Mom Failed To Pay My Apartment Rent, and I Am Being Sued	 landlordtenant
Moving Out and Want My Deposit Refunded	 landlordtenant
How To Get Ex-Girlfriend Out Of The Apartment In New York City	 landlordtenant
Rent Out My Share In The House	 landlordtenant
Confused About Lease Signing Error	 landlordtenant
Water Service Problem in California	 landlordtenant
NYC Problem Roommate	 landlordtenant
Window Treatments For Longtime Resident	 landlordtenant
Landlord Says They Took Us To Court Twice And They Didn't	 landlordtenant
Tenant Won't Get Rid of Dog	 landlordtenant
Breaking a Rental Agreement	 landlordtenant
Non-Lease Signing Friend Overstaying Their Welcome	 landlordtenant
Can't Sell House Due to Destructive Tenant	 landlordtenant
Early Lease Termination in Florida	 landlordtenant
Who Removes the Snow	 landlordtenant
Evicting a Roommate in Vermont	 landlordtenant
Roommate Not on Lease, Never Paid Rent	 landlordtenant
Who Can Be the Petitioner for an Eviction	 landlordtenant
When Do the Terms of My Lease Expire	 landlordtenant
Damaged Door That I Had to Kick In	 landlordtenant
Air Conditioner Died, Owner Won't Replace	 landlordtenant
Eviction for Smoking	 landlordtenant
Being Threatened with $400 Charge if I Go to Small Claims	 landlordtenant
Residential Burglary	 landlordtenant
Property Manager Passive-Agressively Refusing to Fix Dishwasher	 landlordtenant
Roommate Decided to Leave	 landlordtenant
Fiance Cancels Wedding and Moves Out, After We Signed a New Lease	 landlordtenant
A Complicated Mess	 landlordtenant
Legal Definition of Habitual Lateness	 landlordtenant
How to Evict a Roommate	 landlordtenant
How Can I Kick a Rommate Out	 landlordtenant
Roomate Refuses to Pay, Landlord Will Sue Me	 landlordtenant
Retaining Security Deposit After a Tenant's Suicide, Spouse Moved Out	 landlordtenant
Landlord's Responsibility in Finding New Tenant	 landlordtenant
Landlord Put Stop Payment on His Check	 landlordtenant
What is a Roomate Entitled to Pay if They Move Out Without Notice	 landlordtenant
Who is Liable for Rent Money Orders Stolen Out of Landlord's Mailbox	 landlordtenant
Can a Non Homeowner Evict a Houseguest, While Owner is Incapacitated	 landlordtenant
Eviction Without Conviction	 landlordtenant
Landlord Refuses to Accept Timely Rent	 landlordtenant
Management Pushing Snow Mound in Front of My Rented Garage	 landlordtenant
How to Evict a Mentally Ill Roommate	 landlordtenant
Tenant Refusing to Vacate After Early Termination Notice	 landlordtenant
Landlord Towed My Car with Little Notice	 landlordtenant
Locks Were Changed but Neither the Tenant nor Landlord Knows Why	 landlordtenant
Suing After Tenants Ruined Carpets	 landlordtenant
Accused of Discrimination for Not Leasing My House	 landlordtenant
Theft of Property by Landlord's Agent (Building Manager)	 landlordtenant
Evicting a Grandson	 landlordtenant
Who Pays Utility Bills	 landlordtenant
Downstairs Neighbors Smoking Weed, Smell Infiltrates My Domicile	 landlordtenant
Can the Landlord Require a New Lease if the Original Tenant Moves Out	 landlordtenant
Ex-Girlfriend Moved Out, Took Our Property, and Refuses to Pay Rent	 landlordtenant
Can a Landlord Rent Out Parking Spaces to Strangers	 landlordtenant
Unfair Deductions to Security Deposit	 landlordtenant
Rent Payment Under Dispute	 landlordtenant
American Flag to Be Taken Down	 landlordtenant
Roommate Extension with My Name Listed	 landlordtenant
Can You Get an Eviction Vacated Because You Can't Afford to Pay	 landlordtenant
Home Renters Leave and Choose Not to Pay Rent	 landlordtenant
Is a Live-In Boyfriend Who Pays No Rent a Guest or a Tenant	 landlordtenant
Got Caught Growing Marijuana	 landlordtenant
Ex Wants to Change Our Rent Split After Breaking Up	 landlordtenant
Dissatisfied with Condition of a Rental Apartment	 landlordtenant
Threatened With Eviction Over Damage Bill for Prior Rental With the Same Landlord	 landlordtenant
I Obtained a Restraining Order Against My Roommate - Do I Still Have to Evict Them	 landlordtenant
Problems With Heat, Stove and Electric	 landlordtenant
Steps Towards Eviction After Buying Occupied Foreclosed Home	 landlordtenant
Cost of Heating is Too High Due to Inefficient Heating System	 landlordtenant
Denied an Apartment Due to Being Unemployed, Despite Ability to Pay from Savings	 landlordtenant
Pipe Bursted in the Outside Wall and Caused Water Damage - Who is Liable	 landlordtenant
Eviction Case Reinstated After Dismissal	 landlordtenant
Is a Tenant Responsible for House Flooding Due to Malfunctioning Washer	 landlordtenant
Wrongly Included on a Rental Exclusions List	 landlordtenant
Can You Get a Holding Deposit Back if You Decide Not to Sign the Lease	 landlordtenant
Landlord Refused to Make Repairs	 landlordtenant
Protecting Yourself from Eviction for Alleged Clutter Violations	 landlordtenant
Can I Be Evicted if I've Moved Out but Other Tenants Have Not	 landlordtenant
Landlord Called Police on Tenants for Unsubstantiated Claim	 landlordtenant
Roommate Broke Agreement to Give Notice	 landlordtenant
Can You Sue for Bank Overdraft Fees	 landlordtenant
Roommate is Not on the New Lease but Refuses to Move Out	 landlordtenant
Mildew After the Clothes Washer Flooded	 landlordtenant
Noisy and Provocative Neighbors	 landlordtenant
My Roommate is Bailing Out on the Lease - Can I Sue Him	 landlordtenant
Court Granted Continuance of an Eviction	 landlordtenant
Can a Landlord Shut Off Utilities to Make a Tenant Move Out	 landlordtenant
Roommate's Unreasonable Demands Make it Impossible to Find a Replacement	 landlordtenant
Possible Foreclosure, Landlord Won't Accept Rent	 landlordtenant
How Soon Can a Landlord Give You Notice After You Pay Rent	 landlordtenant
When Can Landlord Give Me Thirty Days Notice	 landlordtenant
Can You Give Notice for Nonpayment Even Though You Required Last Month's Rent	 landlordtenant
Roommate Abandoned Property	 landlordtenant
Accused of Violating Lease by Feeding a Stray Cat	 landlordtenant
Fire in Rental Home Due to Improper Wiring	 landlordtenant
Tenant Refuses to Leave and Shows Signs of Mental Instability and Aggression	 landlordtenant
Responsibility for Damages Caused by a Guest Who Turned Off the Heat	 landlordtenant
Are Late Fees Payable Once Per Month, or Every Day Rent is Late	 landlordtenant
What is "Holding Over"	 landlordtenant
Problems With Water Quality at a Manufactured Home Community	 landlordtenant
Can a Lease Provide That You Forfeit Your Security Deposit	 landlordtenant
Should Carpet Have Been Replaced After Deemed "Acceptable" in Final Walk-Through	 landlordtenant
